id,eng_word,level,difficulty_level,first_letter,tur_word,sample_sentence_1,sample_sentence_2,picture,audio_url
37,dark,A1,1,d,karanlık,The room was dark at night.,A dark cloud covered the sun.,,https://api.dictionaryapi.dev/media/pronunciations/en/dark-us.mp3
38,date,A1,1,d,tarih/randevu,Write today’s date at the top.,They went on a dinner date.,,https://api.dictionaryapi.dev/media/pronunciations/en/date-us.mp3
39,daughter,A1,1,d,kız evlat,My daughter studies English every day.,Her daughter drew a picture of a cat.,,https://api.dictionaryapi.dev/media/pronunciations/en/daughter-uk.mp3
40,day,A1,1,d,gün,It was a sunny day.,The day ended with a short walk.,,https://api.dictionaryapi.dev/media/pronunciations/en/day-us.mp3
41,dear,A1,1,d,sevgili,She wrote a letter to her dear friend.,This old photo is dear to me.,,https://api.dictionaryapi.dev/media/pronunciations/en/dear-us.mp3
42,december,A1,1,d,aralık,December is a cold month here.,My birthday is in December.,,/uploads/audio/words/december.mp3
43,each,A1,1,e,her biri,Each student brought one book.,We put a sticker on each box.,,https://api.dictionaryapi.dev/media/pronunciations/en/each-us.mp3
44,ear,A1,1,e,kulak,The baby touched his ear.,I heard music in my left ear.,,https://api.dictionaryapi.dev/media/pronunciations/en/ear-ca.mp3
45,early,A1,1,e,erken,She came early to class.,We ate an early breakfast today.,,https://api.dictionaryapi.dev/media/pronunciations/en/early-uk.mp3
46,easy,A1,1,e,kolay,This question is easy for me.,The teacher gave an easy example.,,https://api.dictionaryapi.dev/media/pronunciations/en/easy-uk.mp3
47,eat,A1,1,e,yemek,I eat breakfast at seven.,She likes to eat fruit after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/eat-uk.mp3
48,egg,A1,1,e,yumurta,We shared the egg at lunch.,The cook used egg in the meal.,,https://api.dictionaryapi.dev/media/pronunciations/en/egg-us.mp3
49,eight,A1,1,e,sekiz,I have eight pencils in my bag.,The train leaves at eight o’clock.,,https://api.dictionaryapi.dev/media/pronunciations/en/eight-1-us.mp3
50,eighteen,A1,1,e,on sekiz,My cousin is eighteen years old.,There are eighteen students in the room.,,https://api.dictionaryapi.dev/media/pronunciations/en/eighteen-us.mp3
51,eighty,A1,1,e,seksen,My grandfather is eighty years old.,The ticket costs eighty lira.,,https://api.dictionaryapi.dev/media/pronunciations/en/eighty-us.mp3
52,either,A1,1,e,ikisi de/biri,You can choose either tea or coffee.,Either answer is fine for this question.,,/uploads/audio/words/either.mp3
53,face,A1,1,f,yüz,He pointed to the face on the page.,The face appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/face-au.mp3
54,factory,A1,1,f,fabrika,My uncle works in a factory.,The factory makes small toys.,,https://api.dictionaryapi.dev/media/pronunciations/en/factory-uk.mp3
55,fair,A1,1,f,adil/fuar,The referee made a fair decision.,We bought candy at the fair.,,https://api.dictionaryapi.dev/media/pronunciations/en/fair-us.mp3
56,fairy,A1,1,f,peri,The child drew a tiny fairy.,A fairy helped the hero in the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/fairy-us.mp3
57,FALSE,A1,1,f,yanlış,That answer is false.,He gave a false name at first.,,https://api.dictionaryapi.dev/media/pronunciations/en/false-uk.mp3
58,family,A1,1,f,aile,My family eats dinner together.,Her family lives near the sea.,,https://api.dictionaryapi.dev/media/pronunciations/en/family-uk.mp3
59,famous,A1,1,f,ünlü,The famous singer visited our city.,This street is famous for its cafes.,,https://api.dictionaryapi.dev/media/pronunciations/en/famous-us.ogg
60,fan,A1,1,f,hayran/vantilatör,He is a fan of that football team.,The fan made the room cooler.,,https://api.dictionaryapi.dev/media/pronunciations/en/fan-uk.mp3
61,farm,A1,1,f,çiftlik,They live on a small farm.,The farm has cows and chickens.,,https://api.dictionaryapi.dev/media/pronunciations/en/farm-us.mp3
62,farmer,A1,1,f,çiftçi,The farmer arrived early for work.,Everyone thanked the farmer after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/farmer-uk.mp3
63,fast,A1,1,f,hızlı,The rabbit is very fast.,She runs fast in the race.,,https://api.dictionaryapi.dev/media/pronunciations/en/fast-uk.mp3
64,game,A1,1,g,oyun,We played a game after dinner.,The game starts at seven o’clock.,,https://api.dictionaryapi.dev/media/pronunciations/en/game-us.mp3
65,garbage,A1,1,g,çöp,Please put the garbage outside.,The street had garbage near the wall.,,https://api.dictionaryapi.dev/media/pronunciations/en/garbage-us.mp3
66,garden,A1,1,g,bahçe,Flowers grow in the garden.,We sat in the garden after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/garden-au.mp3
67,get,A1,1,g,almak/elde etmek,I will get a ticket after school.,She wants to get better at English.,,https://api.dictionaryapi.dev/media/pronunciations/en/get-us.mp3
68,ghost,A1,1,g,hayalet,The story has a friendly ghost.,He wore a ghost costume at the party.,,https://api.dictionaryapi.dev/media/pronunciations/en/ghost-us.mp3
69,gift,A1,1,g,hediye,She gave me a small gift.,The gift was inside a red box.,,https://api.dictionaryapi.dev/media/pronunciations/en/gift-us.mp3
70,girl,A1,1,g,kız,The girl helped a child near the door.,A friendly girl smiled during the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/girl-us.mp3
71,girlfriend,A1,1,g,kız arkadaş,The girlfriend arrived early for work.,Everyone thanked the girlfriend after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/girlfriend-us.mp3
72,give,A1,1,g,vermek,The team will give the issue tomorrow.,I hope to give this skill with practice.,,https://api.dictionaryapi.dev/media/pronunciations/en/give-1-uk.mp3
73,glad,A1,1,g,memnun,I am glad to see you.,She felt glad after the exam.,,https://api.dictionaryapi.dev/media/pronunciations/en/glad-uk.mp3
74,habit,A1,1,h,alışkanlık,Reading every night is a good habit.,He has a habit of waking early.,,https://api.dictionaryapi.dev/media/pronunciations/en/habit-us.mp3
75,had,A1,1,h,sahipti,We saw the had near the window.,My friend described the had very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/had-us.mp3
76,hair,A1,1,h,saç,Her hair is long and black.,I washed my hair this morning.,,https://api.dictionaryapi.dev/media/pronunciations/en/hair-uk.mp3
77,haircut,A1,1,h,saç kesimi,The haircut was on the wooden table.,My brother carried the haircut to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/haircut-us.mp3
78,half,A1,1,h,yarım,She ate half of the sandwich.,The game lasted half an hour.,,/uploads/audio/words/half.mp3
79,hall,A1,1,h,salon/koridor,They waited near the hall after lunch.,She took a photo of the hall in town.,,https://api.dictionaryapi.dev/media/pronunciations/en/hall-us.mp3
80,hamburger,A1,1,h,hamburger,He ate a hamburger for lunch.,The hamburger came with salad.,,/uploads/audio/words/hamburger.mp3
81,hand,A1,1,h,el,I cleaned the hand before dinner.,The small hand fell from the shelf.,,https://api.dictionaryapi.dev/media/pronunciations/en/hand-uk.mp3
82,handsome,A1,1,h,yakışıklı,The actor looked handsome in the film.,She bought a handsome jacket for her brother.,,https://api.dictionaryapi.dev/media/pronunciations/en/handsome-uk.mp3
83,happen,A1,1,h,olmak/gerçekleşmek,She began to happen when the music started.,They will happen outside if the weather is good.,,https://api.dictionaryapi.dev/media/pronunciations/en/happen-us.mp3
84,happy,A1,1,h,mutlu,The children were happy at the zoo.,I felt happy after the good news.,,https://api.dictionaryapi.dev/media/pronunciations/en/happy-au.mp3
85,ice,A1,1,i,buz,The ice was part of the story.,She noticed the ice during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/ice-us.mp3
86,idea,A1,1,i,fikir,That is a good idea.,She wrote her idea in the notebook.,,https://api.dictionaryapi.dev/media/pronunciations/en/idea-us.mp3
87,ideal,A1,1,i,ideal,This is an ideal place for a picnic.,The ideal answer is short and clear.,,https://api.dictionaryapi.dev/media/pronunciations/en/ideal-us.mp3
88,if,A1,1,i,eğer,Call me if you need help.,We can go outside if it stops raining.,,https://api.dictionaryapi.dev/media/pronunciations/en/if-us.mp3
89,imagine,A1,1,i,hayal etmek,We can imagine the problem step by step.,He began to imagine the answer during class.,,https://api.dictionaryapi.dev/media/pronunciations/en/imagine-us.mp3
90,important,A1,1,i,önemli,Sleep is important for health.,This rule is important for everyone.,,https://api.dictionaryapi.dev/media/pronunciations/en/important-us.mp3
91,in,A1,1,i,içinde,The keys are in my bag.,She lives in a small town.,,https://api.dictionaryapi.dev/media/pronunciations/en/in-au-stressed.mp3
92,information,A1,1,i,bilgi,The website has useful information.,Please write the information on this form.,,https://api.dictionaryapi.dev/media/pronunciations/en/information-us.mp3
93,inside,A1,1,i,içeride,The cat is inside the box.,It was warm inside the house.,,https://api.dictionaryapi.dev/media/pronunciations/en/inside-us.mp3
94,interested,A1,1,i,ilgili/meraklı,She is interested in music.,He looked interested during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/interested-us.mp3
95,jacket,A1,1,j,ceket,The jacket was on the wooden table.,My brother carried the jacket to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/jacket-us.mp3
96,january,A1,1,j,ocak,January is the first month.,We start school again in January.,,/uploads/audio/words/january.mp3
97,jeans,A1,1,j,kot pantolon,He wore blue jeans to school.,My jeans are in the washing machine.,,https://api.dictionaryapi.dev/media/pronunciations/en/jeans-uk.mp3
98,jet,A1,1,j,jet,The jet was on the wooden table.,My brother carried the jet to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/jet-au.mp3
99,job,A1,1,j,iş,She found a new job in town.,This job starts early in the morning.,,https://api.dictionaryapi.dev/media/pronunciations/en/job-uk.mp3
100,join,A1,1,j,katılmak,They plan to join the problem this week.,She tried to join the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/join-us.mp3
101,judge,A1,1,j,yargıç/yargılamak,The judge listened to both sides.,Please do not judge people too quickly.,,https://api.dictionaryapi.dev/media/pronunciations/en/judge-us.mp3
102,juice,A1,1,j,meyve suyu,We shared the juice at lunch.,The cook used juice in the meal.,,https://api.dictionaryapi.dev/media/pronunciations/en/juice-1-us.mp3
103,july,A1,1,j,temmuz,July is usually hot here.,We will travel in July.,,/uploads/audio/words/july.mp3
104,jump,A1,1,j,zıplamak,She began to jump when the music started.,They will jump outside if the weather is good.,,https://api.dictionaryapi.dev/media/pronunciations/en/jump-us.mp3
105,keep,A1,1,k,tutmak/saklamak,Keep your phone in your bag.,I keep old photos in this box.,,https://api.dictionaryapi.dev/media/pronunciations/en/keep-au.mp3
106,key,A1,1,k,anahtar,She put the key beside her bag.,He found a key under the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/key-uk.mp3
107,kick,A1,1,k,tekme atmak,We need to kick the plan carefully.,He decided to kick it after the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/kick-us.mp3
108,kid,A1,1,k,çocuk,A young kid waited outside the room.,The kid spoke kindly to us.,,https://api.dictionaryapi.dev/media/pronunciations/en/kid-us.mp3
109,kill,A1,1,k,öldürmek,They plan to kill the problem this week.,She tried to kill the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/kill-us.mp3
110,kind,A1,1,k,tür/nazik,She is kind to new students.,This kind of tea is very light.,,https://api.dictionaryapi.dev/media/pronunciations/en/kind-us.mp3
111,king,A1,1,k,kral,The king answer was easy to understand.,We found a king place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/king-uk.mp3
112,kiss,A1,1,k,öpmek,They plan to kiss the problem this week.,She tried to kiss the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/kiss-us.mp3
113,kitchen,A1,1,k,mutfak,The kitchen was quiet in the morning.,We found the kitchen at the end of the street.,,https://api.dictionaryapi.dev/media/pronunciations/en/kitchen-uk.mp3
114,kite,A1,1,k,uçurtma,I cleaned the kite before dinner.,The small kite fell from the shelf.,,/uploads/audio/words/kite.mp3
115,lady,A1,1,l,bayan,The lady helped a child near the door.,A friendly lady smiled during the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/lady-us.mp3
116,language,A1,1,l,dil,English is a useful language.,She learns a new language at school.,,https://api.dictionaryapi.dev/media/pronunciations/en/language-us.mp3
117,large,A1,1,l,büyük,They live in a large house.,A large dog slept by the door.,,https://api.dictionaryapi.dev/media/pronunciations/en/large-uk.mp3
118,late,A1,1,l,geç,The bus was late this morning.,I had a late dinner yesterday.,,https://api.dictionaryapi.dev/media/pronunciations/en/late-uk.mp3
119,later,A1,1,l,daha sonra,They walked later through the quiet hall.,The student listened later to the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/later-us.mp3
120,laugh,A1,1,l,gülmek,Her laugh made everyone smile.,I heard a loud laugh outside.,,https://api.dictionaryapi.dev/media/pronunciations/en/laugh-us.mp3
121,lazy,A1,1,l,tembel,The lazy cat slept all day.,Do not be lazy with your homework.,,https://api.dictionaryapi.dev/media/pronunciations/en/lazy-us.mp3
122,leader,A1,1,l,lider,The leader arrived early for work.,Everyone thanked the leader after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/leader-us.mp3
123,leaf,A1,1,l,yaprak,We saw the leaf near the window.,My friend described the leaf very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/leaf-us.mp3
124,learn,A1,1,l,öğrenmek,Try to learn the main idea first.,She wants to learn the reason clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/learn-us.mp3
125,machine,A1,1,m,makine,The machine was on the wooden table.,My brother carried the machine to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/machine-uk.mp3
126,magazine,A1,1,m,dergi,I cleaned the magazine before dinner.,The small magazine fell from the shelf.,,/uploads/audio/words/magazine.mp3
127,mail,A1,1,m,posta,She put the mail beside her bag.,He found a mail under the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/mail-us.mp3
128,make,A1,1,m,yapmak,We need to make the plan carefully.,He decided to make it after the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/make-uk.mp3
129,man,A1,1,m,adam/insan,A young man waited outside the room.,The man spoke kindly to us.,,https://api.dictionaryapi.dev/media/pronunciations/en/man-uk.mp3
130,many,A1,1,m,çok,Many students joined the club.,There are many books on the shelf.,,https://api.dictionaryapi.dev/media/pronunciations/en/many-us.mp3
131,map,A1,1,m,harita,The map was on the wooden table.,My brother carried the map to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/map-uk.mp3
132,march,A1,1,m,mart/yürüyüş,March is a windy month here.,The soldiers march through the square.,,https://api.dictionaryapi.dev/media/pronunciations/en/march-us.mp3
133,match,A1,1,m,maç/eşleşme,We watched the football match on TV.,The red socks match her dress.,,https://api.dictionaryapi.dev/media/pronunciations/en/match-uk.mp3
134,matter,A1,1,m,mesele/önemli olmak,This matter needs a quick answer.,Your opinion does matter to me.,,https://api.dictionaryapi.dev/media/pronunciations/en/matter-us.mp3
135,name,A1,1,n,isim,Please write your name here.,Her name is on the list.,,https://api.dictionaryapi.dev/media/pronunciations/en/name-1-au.mp3
136,nationality,A1,1,n,milliyet,My nationality is Turkish.,The form asks for your nationality.,,https://api.dictionaryapi.dev/media/pronunciations/en/nationality-us.mp3
137,near,A1,1,n,yakın,The bus stop is near my house.,He sat near the window.,,https://api.dictionaryapi.dev/media/pronunciations/en/near-uk.mp3
138,neck,A1,1,n,boyun,My neck hurts after sleeping badly.,She wore a scarf around her neck.,,https://api.dictionaryapi.dev/media/pronunciations/en/neck-us.mp3
139,need,A1,1,n,ihtiyaç duymak,They plan to need the problem this week.,She tried to need the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/need-us.mp3
140,never,A1,1,n,asla,The plan changed never after lunch.,She smiled never at the good news.,,https://api.dictionaryapi.dev/media/pronunciations/en/never-uk.mp3
141,new,A1,1,n,yeni,I bought a new notebook.,Our new teacher is very kind.,,https://api.dictionaryapi.dev/media/pronunciations/en/new-au.mp3
142,news,A1,1,n,haber,The news made everyone happy.,I read the news every morning.,,https://api.dictionaryapi.dev/media/pronunciations/en/news.mp3
143,newspaper,A1,1,n,gazete,My father reads the newspaper at breakfast.,The newspaper is on the table.,,https://api.dictionaryapi.dev/media/pronunciations/en/newspaper-us.mp3
144,nice,A1,1,n,güzel,She has a nice smile.,We had a nice day at the park.,,https://api.dictionaryapi.dev/media/pronunciations/en/nice-us.mp3
145,o'clock,A1,2,o,saat,The class starts at nine o’clock.,I went home at five o’clock.,,https://api.dictionaryapi.dev/media/pronunciations/en/o'clock-us.mp3
146,october,A1,2,o,ekim,October is a cool month.,The meeting is in October.,,/uploads/audio/words/october.mp3
147,of,A1,2,o,ın in,The cover of the book is blue.,She drank a glass of water.,,https://api.dictionaryapi.dev/media/pronunciations/en/of-1-us-stressed.mp3
148,off,A1,2,o,kapalı/uzakta,Please turn off the light.,The cat jumped off the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/off-au.mp3
149,office,A1,2,o,ofis,My mother works in an office.,The office closes at five.,,https://api.dictionaryapi.dev/media/pronunciations/en/office-au.mp3
150,officer,A1,2,o,memur/subay,We saw the officer near the window.,My friend described the officer very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/officer-us.mp3
151,often,A1,2,o,sık sık,I often drink tea after dinner.,She often walks to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/often-us.mp3
152,old,A1,2,o,eski/yaşlı,My old phone still works.,The old man walked slowly.,,https://api.dictionaryapi.dev/media/pronunciations/en/old-uk.mp3
153,olympics,A1,2,o,olimpiyatlar,The Olympics are on TV tonight.,Many athletes train for the Olympics.,,/uploads/audio/words/olympics.mp3
154,on,A1,2,o,üzerinde,The phone is on the desk.,We met on Monday morning.,,https://api.dictionaryapi.dev/media/pronunciations/en/on-au.mp3
155,page,A1,2,p,sayfa,Open your book to page ten.,She wrote notes on the page.,,https://api.dictionaryapi.dev/media/pronunciations/en/page-us.mp3
156,paint,A1,2,p,boyamak/boya,She will paint the wall blue.,The paint on the door is dry.,,https://api.dictionaryapi.dev/media/pronunciations/en/paint-us.mp3
157,painting,A1,2,p,resim/tablo,The painting hangs above the sofa.,She is painting a small flower.,,https://api.dictionaryapi.dev/media/pronunciations/en/painting-uk.mp3
158,pair,A1,2,p,çift,I bought a pair of shoes.,This pair of socks is clean.,,https://api.dictionaryapi.dev/media/pronunciations/en/pair-au.mp3
159,palace,A1,2,p,saray,People gathered outside the palace.,The old palace looked clean and bright.,,https://api.dictionaryapi.dev/media/pronunciations/en/palace-us.mp3
160,pants,A1,2,p,pantolon,His pants are black.,She put her pants in the closet.,,https://api.dictionaryapi.dev/media/pronunciations/en/pants-au.mp3
161,paper,A1,2,p,kağıt,The paper was on the wooden table.,My brother carried the paper to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/paper-uk.mp3
162,paragraph,A1,2,p,paragraf,Read the first paragraph slowly.,The paragraph has five sentences.,,https://api.dictionaryapi.dev/media/pronunciations/en/paragraph-us.mp3
163,pardon,A1,2,p,affedersiniz,"Pardon me, where is the station?",I asked for pardon after my mistake.,,https://api.dictionaryapi.dev/media/pronunciations/en/pardon-us.mp3
164,parent,A1,2,p,ebeveyn,The parent arrived early for work.,Everyone thanked the parent after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/parent-us.mp3
165,park,A1,2,p,park,The team will park the issue tomorrow.,I hope to park this skill with practice.,,https://api.dictionaryapi.dev/media/pronunciations/en/park-au.mp3
166,quarter,A1,2,q,çeyrek,A quarter of the cake is left.,The game starts after a quarter hour.,,https://api.dictionaryapi.dev/media/pronunciations/en/quarter-uk.mp3
167,question,A1,2,q,soru,The teacher asked a simple question.,Please question the answer if it seems wrong.,,https://api.dictionaryapi.dev/media/pronunciations/en/question-us.mp3
168,quickly,A1,2,q,hızlıca,She quickly closed the door.,He quickly answered the question.,,https://api.dictionaryapi.dev/media/pronunciations/en/quickly-us.mp3
169,quiet,A1,2,q,sessiz,The library is quiet today.,Please be quiet during the test.,,https://api.dictionaryapi.dev/media/pronunciations/en/quiet-us.mp3
170,rabbit,A1,2,r,tavşan,He pointed to the rabbit on the page.,The rabbit appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/rabbit-au.mp3
171,radio,A1,2,r,radyo,I cleaned the radio before dinner.,The small radio fell from the shelf.,,https://api.dictionaryapi.dev/media/pronunciations/en/radio-us.mp3
172,rain,A1,2,r,yağmur,The children like to rain after school.,We watched the birds rain near the trees.,,https://api.dictionaryapi.dev/media/pronunciations/en/rain-uk.mp3
173,rainy,A1,2,r,yağmurlu,It is a rainy day.,She wore boots in the rainy weather.,,/uploads/audio/words/rainy.mp3
174,rat,A1,2,r,sıçan,We saw the rat near the window.,My friend described the rat very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/rat-uk.mp3
175,read,A1,2,r,okumak,They plan to read the problem this week.,She tried to read the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/read-1-uk.mp3
176,reader,A1,2,r,okuyucu,He pointed to the reader on the page.,The reader appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/reader-us.mp3
177,reading,A1,2,r,okuma,The reading answer was easy to understand.,We found a reading place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/reading-us.mp3
178,ready,A1,2,r,hazır,Dinner is ready now.,I am ready for the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/ready-uk.mp3
179,real,A1,2,r,gerçek,This is a real diamond.,His story felt real to me.,,https://api.dictionaryapi.dev/media/pronunciations/en/real-1-uk.mp3
180,sad,A1,2,s,üzgün,I was sad when I heard the news.,They seemed sad at the end of the day.,,https://api.dictionaryapi.dev/media/pronunciations/en/sad-1-us.mp3
181,sailor,A1,2,s,denizci,The sailor helped a child near the door.,A friendly sailor smiled during the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/sailor-uk.mp3
182,salad,A1,2,s,salata,The salad tasted good with tea.,My sister put the salad on a plate.,,https://api.dictionaryapi.dev/media/pronunciations/en/salad-us.mp3
183,sale,A1,2,s,satış/indirim,The shop has a big sale today.,The sale of tickets starts at noon.,,https://api.dictionaryapi.dev/media/pronunciations/en/sale-us.mp3
184,same,A1,2,s,aynı,We have the same bag.,The answer is the same as mine.,,https://api.dictionaryapi.dev/media/pronunciations/en/same-us.mp3
185,sandwich,A1,2,s,sandviç,He ate a sandwich for lunch.,The sandwich had cheese and tomato.,,https://api.dictionaryapi.dev/media/pronunciations/en/sandwich-us.mp3
186,saturday,A1,2,s,cumartesi,We visit grandma on Saturday.,Saturday is my favorite day.,,/uploads/audio/words/saturday.mp3
